id_equipo_ideal,anio,posicion,id_jugador,jugador,id_seleccion,seleccion
1,1930,Arquero,5813,Enrique Ballestrero,80,Uruguay
2,1930,Defensores,3596,Milutin Ivkovic,85,Yugoslavia
3,1930,Defensores,5940,Jose Nasazzi,80,Uruguay
4,1930,Mediocampistas,5809,Jose Andrade,80,Uruguay
5,1930,Mediocampistas,5880,Alvaro Gestido,80,Uruguay
6,1930,Mediocampistas,5694,Luis Monti,6,Argentina
7,1930,Delanteros,5838,Hector Castro,80,Uruguay
8,1930,Delanteros,5842,Pedro Cea,80,Uruguay
9,1930,Delanteros,2861,Bert Patenaude,35,Estados Unidos
10,1930,Delanteros,5995,Hector Scarone,80,Uruguay
11,1930,Delanteros,5415,Guillermo Stabile,6,Argentina
12,1934,Arquero,5098,Ricardo Zamora,34,España
13,1934,Defensores,5696,Eraldo Monzeglio,51,Italia
14,1934,Defensores,5029,Quincoces I,34,España
15,1934,Mediocampistas,4898,Cilaurren,34,España
16,1934,Mediocampistas,5629,Attilio Ferraris,51,Italia
17,1934,Mediocampistas,5694,Luis Monti,51,Italia
18,1934,Delanteros,5653,Enrique Guaita,51,Italia
19,1934,Delanteros,5689,Giuseppe Meazza,51,Italia
20,1934,Delanteros,537,Oldrich Nejedly,86,Checoslovaquia
21,1934,Delanteros,5713,Raimundo Orsi,51,Italia
22,1934,Delanteros,4647,Matthias Sindelar,8,Austria
23,1938,Arquero,551,Frantisek Planicka,86,Checoslovaquia
24,1938,Defensores,1601,Domingos Da Guia,11,Brasil
25,1938,Defensores,5634,Alfredo Foni,51,Italia
26,1938,Defensores,5743,Pietro Rava,51,Italia
27,1938,Mediocampistas,5525,Michele Andreolo,51,Italia
28,1938,Mediocampistas,5665,Ugo Locatelli,51,Italia
29,1938,Delanteros,5591,Gino Colaussi,51,Italia
30,1938,Delanteros,1690,Leonidas,11,Brasil
31,1938,Delanteros,5732,Silvio Piola,51,Italia
32,1938,Delanteros,7596,Gyorgy Sarosi,42,Hungría
33,1938,Delanteros,7634,Gyula Zsengeller,42,Hungría
34,1950,Arquero,5920,Roque Maspoli,80,Uruguay
35,1950,Defensores,3468,Erik Nilsson,73,Suecia
36,1950,Defensores,5016,Jose Parra,34,España
37,1950,Defensores,5982,Victor Rodriguez Andrade,80,Uruguay
38,1950,Mediocampistas,1550,Bauer,11,Brasil
39,1950,Mediocampistas,5881,Alcides Ghiggia,80,Uruguay
40,1950,Mediocampistas,1660,Jair,11,Brasil
41,1950,Mediocampistas,6025,Obdulio Varela,80,Uruguay
42,1950,Delanteros,1519,Ademir,11,Brasil
43,1950,Delanteros,5996,Juan Schiaffino,80,Uruguay
44,1950,Delanteros,1846,Zizinho,11,Brasil
45,1954,Arquero,7531,Gyula Grosics,42,Hungría
46,1954,Defensores,1599,Djalma Santos,11,Brasil
47,1954,Defensores,4615,Ernst Ocwirk,8,Austria
48,1954,Defensores,5990,Jose Santamaria,80,Uruguay
49,1954,Mediocampistas,7503,Jozsef Bozsik,42,Hungría
50,1954,Mediocampistas,7513,Zoltan Czibor,42,Hungría
51,1954,Mediocampistas,7538,Nandor Hidegkuti,42,Hungría
52,1954,Mediocampistas,6311,Fritz Walter,87,Alemania Occidental
53,1954,Delanteros,7552,Sandor Kocsis,42,Hungría
54,1954,Delanteros,7587,Ferenc Puskas,42,Hungría
55,1954,Delanteros,6251,Helmut Rahn,87,Alemania Occidental
56,1958,Arquero,2245,Harry Gregg,47,Irlanda del Norte
57,1958,Defensores,1553,Bellini,11,Brasil
58,1958,Defensores,1599,Djalma Santos,11,Brasil
59,1958,Defensores,1739,Nilton Santos,11,Brasil
60,1958,Mediocampistas,2227,Danny Blanchflower,47,Irlanda del Norte
61,1958,Mediocampistas,1596,Didi,11,Brasil
62,1958,Mediocampistas,3394,Gunnar Gren,73,Suecia
63,1958,Mediocampistas,3954,Raymond Kopa,36,Francia
64,1958,Delanteros,3915,Just Fontaine,36,Francia
65,1958,Delanteros,1637,Garrincha,11,Brasil
66,1958,Delanteros,1759,Pelé,11,Brasil
67,1962,Arquero,570,Viliam Schrojf,86,Checoslovaquia
68,1962,Defensores,1599,Djalma Santos,11,Brasil
69,1962,Defensores,5673,Cesare Maldini,51,Italia
70,1962,Defensores,6274,Karl-Heinz Schnellinger,87,Alemania Occidental
71,1962,Defensores,417,Valeri Voronin,88,URSS
72,1962,Mediocampistas,528,Josef Masopust,86,Checoslovaquia
73,1962,Mediocampistas,1833,Zagallo,11,Brasil
74,1962,Mediocampistas,1845,Zito,11,Brasil
75,1962,Delanteros,1637,Garrincha,11,Brasil
76,1962,Delanteros,758,Leonel Sanchez,17,Chile
77,1962,Delanteros,1820,Vava,11,Brasil
78,1966,Arquero,1207,Gordon Banks,44,Inglaterra
79,1966,Defensores,1248,George Cohen,44,Inglaterra
80,1966,Defensores,5312,Silvio Marzolini,6,Argentina
81,1966,Defensores,1347,Bobby Moore,44,Inglaterra
82,1966,Defensores,3325,Vicente,65,Portugal
83,1966,Mediocampistas,6051,Franz Beckenbauer,87,Alemania Occidental
84,1966,Mediocampistas,1239,Bobby Charlton,44,Inglaterra
85,1966,Mediocampistas,3211,Coluna,65,Portugal
86,1966,Delanteros,7490,Florian Albert,42,Hungría
87,1966,Delanteros,3228,Eusebio,65,Portugal
88,1966,Delanteros,6281,Uwe Seeler,87,Alemania Occidental
89,1970,Arquero,5922,Ladislao Mazurkiewicz,80,Uruguay
90,1970,Defensores,5808,Atilio Ancheta,80,Uruguay
91,1970,Defensores,6051,Franz Beckenbauer,87,Alemania Occidental
92,1970,Defensores,1571,Carlos Alberto,11,Brasil
93,1970,Defensores,5623,Giacinto Facchetti,51,Italia
94,1970,Mediocampistas,1239,Bobby Charlton,44,Inglaterra
95,1970,Mediocampistas,1640,Gerson,11,Brasil
96,1970,Mediocampistas,1782,Rivelino,11,Brasil
97,1970,Delanteros,1663,Jairzinho,11,Brasil
98,1970,Delanteros,6223,Gerd Mueller,87,Alemania Occidental
99,1970,Delanteros,1759,Pelé,11,Brasil
100,1974,Arquero,6208,Sepp Maier,87,Alemania Occidental
101,1974,Defensores,6051,Franz Beckenbauer,87,Alemania Occidental
102,1974,Defensores,6067,Paul Breitner,87,Alemania Occidental
103,1974,Defensores,6434,Ruud Krol,60,Paises Bajos
104,1974,Defensores,6307,Berti Vogts,87,Alemania Occidental
105,1974,Mediocampistas,3048,Kazimierz Deyna,64,Polonia
106,1974,Mediocampistas,6452,Johan Neeskens,60,Paises Bajos
107,1974,Mediocampistas,6239,Wolfgang Overath,87,Alemania Occidental
108,1974,Delanteros,6378,Johan Cruyff,60,Paises Bajos
109,1974,Delanteros,3110,Grzegorz Lato,64,Polonia
110,1974,Delanteros,6467,Rob Rensenbrink,60,Paises Bajos
111,1978,Arquero,5255,Ubaldo Fillol,6,Argentina
112,1978,Defensores,6434,Ruud Krol,60,Paises Bajos
113,1978,Defensores,5350,Daniel Passarella,6,Argentina
114,1978,Defensores,5420,Alberto Tarantini,6,Argentina
115,1978,Defensores,6307,Berti Vogts,87,Alemania Occidental
116,1978,Mediocampistas,1598,Dirceu,11,Brasil
117,1978,Mediocampistas,6467,Rob Rensenbrink,60,Paises Bajos
118,1978,Delanteros,5549,Roberto Bettega,51,Italia
119,1978,Delanteros,2147,Teofilo Cubillas,63,Perú
120,1978,Delanteros,5290,Mario Kempes,6,Argentina
121,1978,Delanteros,5752,Paolo Rossi,51,Italia
122,1982,Arquero,5797,Dino Zoff,51,Italia
123,1982,Defensores,5592,Fulvio Collovati,51,Italia
124,1982,Defensores,5643,Claudio Gentile,51,Italia
125,1982,Defensores,1680,Junior,11,Brasil
126,1982,Defensores,1701,Luizinho,11,Brasil
127,1982,Mediocampistas,3035,Zbigniew Boniek,64,Polonia
128,1982,Mediocampistas,1623,Falcao,11,Brasil
129,1982,Mediocampistas,4012,Michel Platini,36,Francia
130,1982,Mediocampistas,1843,Zico,11,Brasil
131,1982,Delanteros,5752,Paolo Rossi,51,Italia
132,1982,Delanteros,6265,Karl-Heinz Rummenigge,87,Alemania Occidental
