id_seleccion,nombre
1,Alemania
2,Alemania Oriental
3,Angola
4,Arabia Saudita
5,Argelia
6,Argentina
7,Australia
8,Austria
9,Bolivia
10,Bosnia-Herzegovina
11,Brasil
12,Bulgaria
13,Bélgica
14,Camerún
15,Canadá
16,Catar
17,Chile
18,China
19,Colombia
20,Corea del Norte
21,Corea del Sur
22,Costa Rica
23,Costa de Marfil
24,Croacia
25,Cuba
26,Dinamarca
27,Ecuador
28,Egipto
29,El Salvador
30,Emiratos Arabes
31,Escocia
32,Eslovaquia
33,Eslovenia
34,España
35,Estados Unidos
36,Francia
37,Gales
38,Ghana
39,Grecia
40,Haití
41,Honduras
42,Hungría
43,Indonesia
44,Inglaterra
45,Iraq
46,Irlanda
47,Irlanda del Norte
48,Irán
49,Islandia
50,Israel
51,Italia
52,Jamaica
53,Japón
54,Kuwait
55,Marruecos
56,México
57,Nigeria
58,Noruega
59,Nueva Zelanda
60,Paises Bajos
61,Panamá
62,Paraguay
63,Perú
64,Polonia
65,Portugal
66,RD Congo
67,República Checa
68,Rumania
69,Rusia
70,Senegal
71,Serbia
72,Sudáfrica
73,Suecia
74,Suiza
75,Togo
76,Trinidad y Tobago
77,Turquía
78,Túnez
79,Ucrania
80,Uruguay
81,Cabo Verde
82,Curazao
83,Jordania
84,Uzbekistán
85,Yugoslavia
86,Checoslovaquia
87,Alemania Occidental
88,URSS
89,Zaire
90,RF de Yugoslavia
91,Serbia y Montenegro
