id_tarjeta,anio,id_seleccion,seleccion,id_jugador,jugador,amarillas,rojas
1,1966,6.0,Argentina,5374.0,Antonio Rattin,1,1
2,1966,80.0,Uruguay,6000.0,Hector Silva,1,1
3,1966,6.0,Argentina,5154.0,Rafael Albrecht,0,1
4,1966,88.0,URSS,275.0,Igor Chislenko,0,1
5,1966,80.0,Uruguay,6016.0,Horacio Troche,0,1
6,1966,87.0,Alemania Occidental,6051.0,Franz Beckenbauer,2,0
7,1966,6.0,Argentina,5165.0,Luis Artime,1,0
8,1966,65.0,Portugal,3211.0,Coluna,1,0
9,1966,11.0,Brasil,1593.0,Denilson,1,0
10,1966,12.0,Bulgaria,2923.0,Dinko Dermendzhiev,1,0
11,1966,65.0,Portugal,3228.0,Eusebio,1,0
12,1966,34.0,España,4932.0,Jesus Glaria,1,0
13,1966,88.0,URSS,325.0,Galimzyan Khusainov,1,0
14,1966,12.0,Bulgaria,2958.0,Ivan Kolev,1,0
15,1966,17.0,Chile,700.0,Ruben Marcos,1,0
16,1966,87.0,Alemania Occidental,6239.0,Wolfgang Overath,1,0
17,1966,44.0,Inglaterra,1365.0,Martin Peters,1,0
18,1966,88.0,URSS,384.0,Yozhef Sabo,1,0
19,1966,6.0,Argentina,5410.0,Jorge Solari,1,0
20,1966,44.0,Inglaterra,1405.0,Nobby Stiles,1,0
21,1966,88.0,URSS,417.0,Valeri Voronin,1,0
22,1966,87.0,Alemania Occidental,6313.0,Wolfgang Weber,1,0
23,1966,12.0,Bulgaria,3024.0,Dobromir Zhechev,1,0
24,1970,80.0,Uruguay,5871.0,Dagoberto Fontes,2,0
25,1970,44.0,Inglaterra,1322.0,Francis Lee,2,0
26,1970,87.0,Alemania Occidental,6223.0,Gerd Mueller,2,0
27,1970,56.0,México,7819.0,Gustavo Pena,2,0
28,1970,50.0,Israel,997.0,David Primo,2,0
29,1970,88.0,URSS,252.0,Kakhi Asatiani,1,0
30,1970,50.0,Israel,988.0,Shraga Bar,1,0
31,1970,50.0,Israel,989.0,Menachem Bello,1,0
32,1970,88.0,URSS,262.0,Anatoly Bishovets,1,0
33,1970,51.0,Italia,5553.0,Roberto Boninsegna,1,0
34,1970,51.0,Italia,5562.0,Tarcisio Burgnich,1,0
35,1970,11.0,Brasil,1571.0,Carlos Alberto,1,0
36,1970,80.0,Uruguay,5847.0,Julio Cortes,1,0
37,1970,73.0,Suecia,3370.0,Claes Cronqvist,1,0
38,1970,51.0,Italia,5608.0,Giancarlo De Sisti,1,0
39,1970,86.0,Checoslovaquia,458.0,Karol Dobias,1,0
40,1970,51.0,Italia,5617.0,Angelo Domenghini,1,0
41,1970,68.0,Rumania,1884.0,Ion Dumitru,1,0
42,1970,29.0,El Salvador,827.0,Salvador Flamenco Cabezas,1,0
43,1970,11.0,Brasil,1640.0,Gerson,1,0
44,1970,86.0,Checoslovaquia,477.0,Alexander Horvath,1,0
45,1970,88.0,URSS,322.0,Vitali Khmelnitski,1,0
46,1970,86.0,Checoslovaquia,518.0,Andrej Kvasnak,1,0
47,1970,87.0,Alemania Occidental,6203.0,Hennes Loehr,1,0
48,1970,88.0,URSS,347.0,Gennadi Logofet,1,0
49,1970,87.0,Alemania Occidental,6204.0,Max Lorenz,1,0
50,1970,88.0,URSS,348.0,Evgeni Lovchev,1,0
51,1970,29.0,El Salvador,834.0,Raul Magana,1,0
52,1970,80.0,Uruguay,5913.0,Ildo Maneiro,1,0
53,1970,29.0,El Salvador,836.0,Salvador Mariona,1,0
54,1970,29.0,El Salvador,838.0,Sergio Mendez,1,0
55,1970,68.0,Rumania,1909.0,Mihai Mocanu,1,0
56,1970,80.0,Uruguay,5930.0,Julio Montero Castillo,1,0
57,1970,80.0,Uruguay,5935.0,Juan Mujica,1,0
58,1970,88.0,URSS,367.0,Givili Nodiya,1,0
59,1970,68.0,Rumania,1918.0,Radu Nunweiller,1,0
60,1970,87.0,Alemania Occidental,6239.0,Wolfgang Overath,1,0
61,1970,73.0,Suecia,3492.0,Orjan Persson,1,0
62,1970,11.0,Brasil,1782.0,Rivelino,1,0
63,1970,51.0,Italia,5747.0,Gianni Rivera,1,0
64,1970,51.0,Italia,5750.0,Roberto Rosato,1,0
65,1970,13.0,Bélgica,6703.0,Jean Thissen,1,0
66,1970,11.0,Brasil,1816.0,Tostao,1,0
67,1970,80.0,Uruguay,6017.0,Luis Ubina,1,0
68,1970,56.0,México,7883.0,Javier Valdivia,1,0
69,1970,13.0,Bélgica,6720.0,Paul Van Himst,1,0
70,1974,17.0,Chile,648.0,Carlos Caszely,1,1
71,1974,11.0,Brasil,1695.0,Luis Pereira,1,1
72,1974,80.0,Uruguay,5930.0,Julio Montero Castillo,0,1
73,1974,89.0,Zaire,6823.0,Ndaye Mulamba,0,1
74,1974,7.0,Australia,7356.0,Ray Richards,0,1
75,1974,6.0,Argentina,5171.0,Carlos Babington,3,0
76,1974,40.0,Haití,2439.0,Pierre Bayonne,2,0
77,1974,60.0,Paises Bajos,6378.0,Johan Cruyff,2,0
78,1974,73.0,Suecia,3391.0,Ove Grahn,2,0
79,1974,85.0,Yugoslavia,3585.0,Enver Hadziabdic,2,0
80,1974,11.0,Brasil,1663.0,Jairzinho,2,0
81,1974,64.0,Polonia,3089.0,Henryk Kasperczak,2,0
82,1974,85.0,Yugoslavia,3615.0,Josip Katalinski,2,0
83,1974,2.0,Alemania Oriental,2513.0,Gerd Kische,2,0
84,1974,11.0,Brasil,1712.0,Marinho Peres,2,0
